英雄名,职业名,生命,攻击,智力,防御,魔防,技巧,铸纹生命,铸纹攻击,铸纹智力,铸纹防御,铸纹魔防,铸纹技巧,英雄头像
贝蒂,皇后,4980,527,249,387,305,104,1000,150,30,90,90,20,https://patchwiki.biligame.com/images/langrisser/thumb/c/c0/ecv5tkl64a1m35gvsnxecude6bwaboy.png/82px-%E5%A4%B4%E5%83%8F_%E8%B4%9D%E8%92%82.png
贝蒂,剑士统帅,4665,555,249,364,305,137,1000,150,30,90,90,20,https://patchwiki.biligame.com/images/langrisser/thumb/c/c0/ecv5tkl64a1m35gvsnxecude6bwaboy.png/82px-%E5%A4%B4%E5%83%8F_%E8%B4%9D%E8%92%82.png
比萝蒂丝,游侠,3275,506,233,236,297,252,1000,150,30,90,90,20,https://patchwiki.biligame.com/images/langrisser/thumb/6/63/2bq1qhxwxcv6pdkb1gq3nioygi6udk0.png/82px-%E5%A4%B4%E5%83%8F_%E6%AF%94%E8%90%9D%E8%92%82%E4%B8%9D.png
比萝蒂丝,黑妖刺客,3700,506,233,254,244,325,1000,150,30,90,90,20,https://patchwiki.biligame.com/images/langrisser/thumb/6/63/2bq1qhxwxcv6pdkb1gq3nioygi6udk0.png/82px-%E5%A4%B4%E5%83%8F_%E6%AF%94%E8%90%9D%E8%92%82%E4%B8%9D.png
波莉阿鲁,斗神,4871,583,233,362,242,159,1000,150,30,90,90,20,https://patchwiki.biligame.com/images/langrisser/thumb/8/82/kfiu3rvxm6fomix4a1za7xttcno2m6p.png/82px-%E5%A4%B4%E5%83%8F_%E6%B3%A2%E8%8E%89%E9%98%BF%E9%B2%81.png
波莉阿鲁,触灵行者,4555,583,256,362,297,143,1000,150,30,90,90,20,https://patchwiki.biligame.com/images/langrisser/thumb/8/82/kfiu3rvxm6fomix4a1za7xttcno2m6p.png/82px-%E5%A4%B4%E5%83%8F_%E6%B3%A2%E8%8E%89%E9%98%BF%E9%B2%81.png
波赞鲁,死神领主,4737,287,407,309,387,88,1000,30,150,90,90,20,https://patchwiki.biligame.com/images/langrisser/thumb/b/bd/h1gi79zp5isqcl077i5oi598wwcukap.png/82px-%E5%A4%B4%E5%83%8F_%E6%B3%A2%E8%B5%9E%E9%B2%81.png
波赞鲁,黑暗王子,4096,287,407,288,377,88,1000,30,150,90,90,20,https://patchwiki.biligame.com/images/langrisser/thumb/b/bd/h1gi79zp5isqcl077i5oi598wwcukap.png/82px-%E5%A4%B4%E5%83%8F_%E6%B3%A2%E8%B5%9E%E9%B2%81.png
布琳达,斗神,4922,590,233,346,217,172,1000,150,30,90,90,20,https://patchwiki.biligame.com/images/langrisser/thumb/3/3c/98yvb2hy90kx37u1w54btsyv6hox4o3.png/82px-%E5%A4%B4%E5%83%8F_%E5%B8%83%E7%90%B3%E8%BE%BE.png
布琳达,皇家骑士,4610,590,233,320,270,130,1000,150,30,90,90,20,https://patchwiki.biligame.com/images/langrisser/thumb/3/3c/98yvb2hy90kx37u1w54btsyv6hox4o3.png/82px-%E5%A4%B4%E5%83%8F_%E5%B8%83%E7%90%B3%E8%BE%BE.png
藏马,前世之力,3502,262,579,292,382,115,1000,30,150,90,90,20,https://patchwiki.biligame.com/images/langrisser/thumb/f/f3/fybfnqlh26umbr2psw5a2kw46bxalgg.png/82px-%E5%A4%B4%E5%83%8F_%E8%97%8F%E9%A9%AC.png
藏马,魔蔷薇之棘,3489,262,551,271,382,88,1000,30,150,90,90,20,https://patchwiki.biligame.com/images/langrisser/thumb/f/f3/fybfnqlh26umbr2psw5a2kw46bxalgg.png/82px-%E5%A4%B4%E5%83%8F_%E8%97%8F%E9%A9%AC.png
超越之人,全世之坏灭,4237,256,520,289,374,130,1000,30,150,90,90,20,https://patchwiki.biligame.com/images/langrisser/thumb/6/60/3zdevwkv9fpzzxtfng3a6ag55pbl4j4.png/82px-%E5%A4%B4%E5%83%8F_%E8%B6%85%E8%B6%8A%E4%B9%8B%E4%BA%BA.png
超越之人,万灵之初诞,3760,307,493,269,351,99,1000,30,150,90,90,20,https://patchwiki.biligame.com/images/langrisser/thumb/6/60/3zdevwkv9fpzzxtfng3a6ag55pbl4j4.png/82px-%E5%A4%B4%E5%83%8F_%E8%B6%85%E8%B6%8A%E4%B9%8B%E4%BA%BA.png
迪哈尔特,异邦豪侠,4481,585,222,304,283,164,1000,150,30,90,90,20,https://patchwiki.biligame.com/images/langrisser/thumb/5/5a/5h8ldlwsqdiroedd8aa7ekydpsfa2r8.png/82px-%E5%A4%B4%E5%83%8F_%E8%BF%AA%E5%93%88%E5%B0%94%E7%89%B9.png
迪哈尔特,皇家骑士,4326,581,222,295,283,154,1000,150,30,90,90,20,https://patchwiki.biligame.com/images/langrisser/thumb/5/5a/5h8ldlwsqdiroedd8aa7ekydpsfa2r8.png/82px-%E5%A4%B4%E5%83%8F_%E8%BF%AA%E5%93%88%E5%B0%94%E7%89%B9.png
迪哈尔特,大统帅,4016,553,244,283,263,301,1000,150,30,90,90,20,https://patchwiki.biligame.com/images/langrisser/thumb/5/5a/5h8ldlwsqdiroedd8aa7ekydpsfa2r8.png/82px-%E5%A4%B4%E5%83%8F_%E8%BF%AA%E5%93%88%E5%B0%94%E7%89%B9.png
迪欧斯,弓骑统帅,3281,422,244,231,314,186,1000,150,30,90,90,20,https://patchwiki.biligame.com/images/langrisser/thumb/c/c8/57fozjafgydgfni85m6hylse0qwrr98.png/82px-%E5%A4%B4%E5%83%8F_%E8%BF%AA%E6%AC%A7%E6%96%AF.png
蒂德莉特,精灵剑士,4365,267,567,318,325,152,1000,30,150,90,90,20,https://patchwiki.biligame.com/images/langrisser/thumb/f/fc/c7m7o3j7texzupf69ayn8wjufow2nvi.png/82px-%E5%A4%B4%E5%83%8F_%E8%92%82%E5%BE%B7%E8%8E%89%E7%89%B9.png
蒂德莉特,高等精灵,3555,267,539,260,384,87,1000,30,150,90,90,20,https://patchwiki.biligame.com/images/langrisser/thumb/f/fc/c7m7o3j7texzupf69ayn8wjufow2nvi.png/82px-%E5%A4%B4%E5%83%8F_%E8%92%82%E5%BE%B7%E8%8E%89%E7%89%B9.png
蒂亚莉丝,圣女骑士,3327,335,443,272,407,96,1000,30,150,90,90,20,https://patchwiki.biligame.com/images/langrisser/thumb/0/0f/9gxh3qdkiaq8ipug37mu6rogf622r4b.png/82px-%E5%A4%B4%E5%83%8F_%E8%92%82%E4%BA%9A%E8%8E%89%E4%B8%9D.png
蒂亚莉丝,独角兽统帅,3619,308,481,304,348,125,1000,30,150,90,90,20,https://patchwiki.biligame.com/images/langrisser/thumb/0/0f/9gxh3qdkiaq8ipug37mu6rogf622r4b.png/82px-%E5%A4%B4%E5%83%8F_%E8%92%82%E4%BA%9A%E8%8E%89%E4%B8%9D.png
蒂亚莉丝,黎明圣骑,3527,294,584,279,375,96,1000,30,150,90,90,20,https://patchwiki.biligame.com/images/langrisser/thumb/0/0f/9gxh3qdkiaq8ipug37mu6rogf622r4b.png/82px-%E5%A4%B4%E5%83%8F_%E8%92%82%E4%BA%9A%E8%8E%89%E4%B8%9D.png
法娜,游侠,3490,503,271,234,315,208,1000,150,30,90,90,20,https://patchwiki.biligame.com/images/langrisser/thumb/7/71/6zptjdg5x0ewxtejkd1y5iwl635yxvd.png/82px-%E5%A4%B4%E5%83%8F_%E6%B3%95%E5%A8%9C.png
法娜,龙骑统帅,3939,556,247,262,315,183,1000,150,30,90,90,20,https://patchwiki.biligame.com/images/langrisser/thumb/7/71/6zptjdg5x0ewxtejkd1y5iwl635yxvd.png/82px-%E5%A4%B4%E5%83%8F_%E6%B3%95%E5%A8%9C.png
范恩,里万事屋之主,4436,569,247,329,280,157,1000,150,30,90,90,20,https://patchwiki.biligame.com/images/langrisser/thumb/d/d5/alvy890wmilrs28nt8jtocmwr0x8siq.png/82px-%E5%A4%B4%E5%83%8F_%E8%8C%83%E6%81%A9.png
范恩,黎之魔王,4436,601,247,305,291,157,1000,150,30,90,90,20,https://patchwiki.biligame.com/images/langrisser/thumb/d/d5/alvy890wmilrs28nt8jtocmwr0x8siq.png/82px-%E5%A4%B4%E5%83%8F_%E8%8C%83%E6%81%A9.png
方舟圣女,巫师,3538,262,559,245,367,87,1000,30,150,90,90,20,https://patchwiki.biligame.com/images/langrisser/thumb/7/79/gs0fhdkat8hdp6h4ibx8ac8zsk7dilv.png/82px-%E5%A4%B4%E5%83%8F_%E6%96%B9%E8%88%9F%E5%9C%A3%E5%A5%B3.png
方舟圣女,辉黯使者,4017,252,588,265,367,113,1000,30,150,90,90,20,https://patchwiki.biligame.com/images/langrisser/thumb/7/79/gs0fhdkat8hdp6h4ibx8ac8zsk7dilv.png/82px-%E5%A4%B4%E5%83%8F_%E6%96%B9%E8%88%9F%E5%9C%A3%E5%A5%B3.png
飞影,邪眼师,3439,540,240,298,281,322,1000,150,30,90,90,20,https://patchwiki.biligame.com/images/langrisser/thumb/2/2c/huo7lft2n1a02ubpk8ln1gzo3ylfqpb.png/82px-%E5%A4%B4%E5%83%8F_%E9%A3%9E%E5%BD%B1.png
飞影,邪王炎杀,3821,568,240,334,302,197,1000,150,30,90,90,20,https://patchwiki.biligame.com/images/langrisser/thumb/2/2c/huo7lft2n1a02ubpk8ln1gzo3ylfqpb.png/82px-%E5%A4%B4%E5%83%8F_%E9%A3%9E%E5%BD%B1.png
弗拉基亚,漆黑魅影,3771,496,299,262,250,286,1000,150,30,90,90,20,https://patchwiki.biligame.com/images/langrisser/thumb/f/fc/hz5ud5qvqmc0mxph4ysjakzmdpn3py0.png/82px-%E5%A4%B4%E5%83%8F_%E5%BC%97%E6%8B%89%E5%9F%BA%E4%BA%9A.png
弗拉基亚,幻影魔姬,4074,496,299,272,270,224,1000,150,30,90,90,20,https://patchwiki.biligame.com/images/langrisser/thumb/f/fc/hz5ud5qvqmc0mxph4ysjakzmdpn3py0.png/82px-%E5%A4%B4%E5%83%8F_%E5%BC%97%E6%8B%89%E5%9F%BA%E4%BA%9A.png
弗洛朗蒂娅,军师,2944,312,557,228,295,80,1000,30,150,90,90,20,https://patchwiki.biligame.com/images/langrisser/thumb/5/52/m812mhyuuxulvtoh800kfvlfdcwx628.png/82px-%E5%A4%B4%E5%83%8F_%E5%BC%97%E6%B4%9B%E6%9C%97%E8%92%82%E5%A8%85.png
弗洛朗蒂娅,帝国宰相,2813,260,591,211,295,80,1000,30,150,90,90,20,https://patchwiki.biligame.com/images/langrisser/thumb/5/52/m812mhyuuxulvtoh800kfvlfdcwx628.png/82px-%E5%A4%B4%E5%83%8F_%E5%BC%97%E6%B4%9B%E6%9C%97%E8%92%82%E5%A8%85.png
芙蕾雅,蔷薇女王,4839,433,397,364,326,92,1000,150,30,90,90,20,https://patchwiki.biligame.com/images/langrisser/thumb/4/4b/o19c5nzfxjv0hiotrqrwnjzw9a9i8kd.png/82px-%E5%A4%B4%E5%83%8F_%E8%8A%99%E8%95%BE%E9%9B%85.png
芙蕾雅,女武神,4550,325,484,332,316,94,1000,30,150,90,90,20,https://patchwiki.biligame.com/images/langrisser/thumb/4/4b/o19c5nzfxjv0hiotrqrwnjzw9a9i8kd.png/82px-%E5%A4%B4%E5%83%8F_%E8%8A%99%E8%95%BE%E9%9B%85.png
芙蕾雅,皇家卫士,5182,408,312,387,207,81,1000,150,30,90,90,20,https://patchwiki.biligame.com/images/langrisser/thumb/4/4b/o19c5nzfxjv0hiotrqrwnjzw9a9i8kd.png/82px-%E5%A4%B4%E5%83%8F_%E8%8A%99%E8%95%BE%E9%9B%85.png
高里,光之剑,4307,593,276,322,292,167,1000,150,30,90,90,20,https://patchwiki.biligame.com/images/langrisser/thumb/9/9d/0fywsdykc0aetc6wjfupikjcikyzc9l.png/82px-%E5%A4%B4%E5%83%8F_%E9%AB%98%E9%87%8C.png
高里,英雄,4307,562,276,348,280,167,1000,150,30,90,90,20,https://patchwiki.biligame.com/images/langrisser/thumb/9/9d/0fywsdykc0aetc6wjfupikjcikyzc9l.png/82px-%E5%A4%B4%E5%83%8F_%E9%AB%98%E9%87%8C.png
格伦希尔,驭空之刃,4548,603,258,339,278,141,1000,150,30,90,90,20,https://patchwiki.biligame.com/images/langrisser/thumb/7/73/p8us9a6f142ba7m7jfai7sw2g70v8p0.png/82px-%E5%A4%B4%E5%83%8F_%E6%A0%BC%E4%BC%A6%E5%B8%8C%E5%B0%94.png
格伦希尔,锋翼统帅,4241,603,235,339,301,157,1000,150,30,90,90,20,https://patchwiki.biligame.com/images/langrisser/thumb/7/73/p8us9a6f142ba7m7jfai7sw2g70v8p0.png/82px-%E5%A4%B4%E5%83%8F_%E6%A0%BC%E4%BC%A6%E5%B8%8C%E5%B0%94.png
格尼尔,啸风骑将,4902,502,250,360,304,180,1000,150,30,90,90,20,https://patchwiki.biligame.com/images/langrisser/thumb/4/44/7d7i6pr6p0wgjnczr6kbvjdkrboy4pm.png/82px-%E5%A4%B4%E5%83%8F_%E6%A0%BC%E5%B0%BC%E5%B0%94.png
格尼尔,大元帅,4993,495,227,376,220,90,1000,150,30,90,90,20,https://patchwiki.biligame.com/images/langrisser/thumb/4/44/7d7i6pr6p0wgjnczr6kbvjdkrboy4pm.png/82px-%E5%A4%B4%E5%83%8F_%E6%A0%BC%E5%B0%BC%E5%B0%94.png
格尼尔,弓骑统帅,4106,495,250,287,308,157,1000,150,30,90,90,20,https://patchwiki.biligame.com/images/langrisser/thumb/4/44/7d7i6pr6p0wgjnczr6kbvjdkrboy4pm.png/82px-%E5%A4%B4%E5%83%8F_%E6%A0%BC%E5%B0%BC%E5%B0%94.png
古恩,白狼王,4051,611,260,320,280,160,1000,150,30,90,90,20,https://patchwiki.biligame.com/images/langrisser/thumb/5/5d/d71cmce44glj0r6cg286g1ezz4ua4rv.png/82px-%E5%A4%B4%E5%83%8F_%E5%8F%A4%E6%81%A9.png
古恩,群山守护者,3750,581,237,320,303,179,1000,150,30,90,90,20,https://patchwiki.biligame.com/images/langrisser/thumb/5/5d/d71cmce44glj0r6cg286g1ezz4ua4rv.png/82px-%E5%A4%B4%E5%83%8F_%E5%8F%A4%E6%81%A9.png
古巨拉,贝希摩斯,5805,503,271,293,325,109,1000,150,30,90,90,20,https://patchwiki.biligame.com/images/langrisser/thumb/e/eb/7rvy2c5zuctfkimwlm0i52js47zdmn9.png/82px-%E5%A4%B4%E5%83%8F_%E5%8F%A4%E5%B7%A8%E6%8B%89.png
古巨拉,海德拉,5442,412,247,317,285,124,1000,150,30,90,90,20,https://patchwiki.biligame.com/images/langrisser/thumb/e/eb/7rvy2c5zuctfkimwlm0i52js47zdmn9.png/82px-%E5%A4%B4%E5%83%8F_%E5%8F%A4%E5%B7%A8%E6%8B%89.png
古巨拉,巴哈姆特,5442,412,327,282,371,124,1000,150,30,90,90,20,https://patchwiki.biligame.com/images/langrisser/thumb/e/eb/7rvy2c5zuctfkimwlm0i52js47zdmn9.png/82px-%E5%A4%B4%E5%83%8F_%E5%8F%A4%E5%B7%A8%E6%8B%89.png
古斯塔夫,死灵之械,4316,263,591,268,364,130,1000,30,150,90,90,20,https://patchwiki.biligame.com/images/langrisser/thumb/0/06/6vegjgi4xk8dfozua8g02t349obwc93.png/82px-%E5%A4%B4%E5%83%8F_%E5%8F%A4%E6%96%AF%E5%A1%94%E5%A4%AB.png
古斯塔夫,巫师,3826,263,563,249,364,99,1000,30,150,90,90,20,https://patchwiki.biligame.com/images/langrisser/thumb/0/06/6vegjgi4xk8dfozua8g02t349obwc93.png/82px-%E5%A4%B4%E5%83%8F_%E5%8F%A4%E6%96%AF%E5%A1%94%E5%A4%AB.png
光影剑魄,剑之传承,3878,573,258,308,268,186,1000,150,30,90,90,20,https://patchwiki.biligame.com/images/langrisser/thumb/9/9e/p5o74nrl3to4o30w0qef8h921le25yt.png/82px-%E5%A4%B4%E5%83%8F_%E5%85%89%E5%BD%B1%E5%89%91%E9%AD%84.png
光影剑魄,魔剑具象,4174,603,258,308,279,167,1000,150,30,90,90,20,https://patchwiki.biligame.com/images/langrisser/thumb/9/9e/p5o74nrl3to4o30w0qef8h921le25yt.png/82px-%E5%A4%B4%E5%83%8F_%E5%85%89%E5%BD%B1%E5%89%91%E9%AD%84.png
光佑使徒,圣护使徒,5068,260,567,320,348,94,1000,30,150,90,90,20,https://patchwiki.biligame.com/images/langrisser/thumb/9/9c/fwke5lm3g2tdksncjbhylg7zxpbz5xf.png/82px-%E5%A4%B4%E5%83%8F_%E5%85%89%E4%BD%91%E4%BD%BF%E5%BE%92.png
光佑使徒,光盾剑卫,5068,260,567,348,311,141,1000,30,150,90,90,20,https://patchwiki.biligame.com/images/langrisser/thumb/9/9c/fwke5lm3g2tdksncjbhylg7zxpbz5xf.png/82px-%E5%A4%B4%E5%83%8F_%E5%85%89%E4%BD%91%E4%BD%BF%E5%BE%92.png
海恩,黑龙魔导师,3489,258,547,240,388,87,1000,30,150,90,90,20,https://patchwiki.biligame.com/images/langrisser/thumb/5/57/9o2k3cji8s3bcu3ypdj3dndamuzael1.png/82px-%E5%A4%B4%E5%83%8F_%E6%B5%B7%E6%81%A9.png
海恩,圣者,3301,310,498,256,373,80,1000,30,150,90,90,20,https://patchwiki.biligame.com/images/langrisser/thumb/5/57/9o2k3cji8s3bcu3ypdj3dndamuzael1.png/82px-%E5%A4%B4%E5%83%8F_%E6%B5%B7%E6%81%A9.png
海恩,巫师,3154,258,527,237,373,80,1000,30,150,90,90,20,https://patchwiki.biligame.com/images/langrisser/thumb/5/57/9o2k3cji8s3bcu3ypdj3dndamuzael1.png/82px-%E5%A4%B4%E5%83%8F_%E6%B5%B7%E6%81%A9.png
海伦娜,突击骑士,4184,609,233,275,254,113,1000,150,30,90,90,20,https://patchwiki.biligame.com/images/langrisser/thumb/3/3c/3m8i38usnk5gwjh1ndvgezxe2u0g9oz.png/82px-%E5%A4%B4%E5%83%8F_%E6%B5%B7%E4%BC%A6%E5%A8%9C.png
海伦娜,皇家骑士,4511,578,233,287,283,113,1000,150,30,90,90,20,https://patchwiki.biligame.com/images/langrisser/thumb/3/3c/3m8i38usnk5gwjh1ndvgezxe2u0g9oz.png/82px-%E5%A4%B4%E5%83%8F_%E6%B5%B7%E4%BC%A6%E5%A8%9C.png
红月之王,异星复仇者,3878,267,518,319,323,175,1000,30,150,90,90,20,https://patchwiki.biligame.com/images/langrisser/thumb/a/aa/jv6cbds0hkg6ecmi8hqzab235alx262.png/82px-%E5%A4%B4%E5%83%8F_%E7%BA%A2%E6%9C%88%E4%B9%8B%E7%8E%8B.png
红月之王,血晶支配者,3878,295,518,285,335,175,1000,30,150,90,90,20,https://patchwiki.biligame.com/images/langrisser/thumb/a/aa/jv6cbds0hkg6ecmi8hqzab235alx262.png/82px-%E5%A4%B4%E5%83%8F_%E7%BA%A2%E6%9C%88%E4%B9%8B%E7%8E%8B.png
户愚吕兄弟,力·100%,3914,628,233,313,273,121,1000,150,30,90,90,20,https://patchwiki.biligame.com/images/langrisser/thumb/f/f6/h6ul74v2xfkdqmel3wr6kxnhfeeby0r.png/82px-%E5%A4%B4%E5%83%8F_%E6%88%B7%E6%84%9A%E5%90%95%E5%85%84%E5%BC%9F.png
户愚吕兄弟,武态·剑,4303,596,233,313,262,121,1000,150,30,90,90,20,https://patchwiki.biligame.com/images/langrisser/thumb/f/f6/h6ul74v2xfkdqmel3wr6kxnhfeeby0r.png/82px-%E5%A4%B4%E5%83%8F_%E6%88%B7%E6%84%9A%E5%90%95%E5%85%84%E5%BC%9F.png
怀特·茜茜,军师,3806,305,476,282,362,80,1000,30,150,90,90,20,https://patchwiki.biligame.com/images/langrisser/thumb/6/6d/5evva54tdbq5hkzzmire8j97bh0eeop.png/82px-%E5%A4%B4%E5%83%8F_%E6%80%80%E7%89%B9%C2%B7%E8%8C%9C%E8%8C%9C.png
怀特·茜茜,隐士,3806,280,476,262,340,93,1000,30,150,90,90,20,https://patchwiki.biligame.com/images/langrisser/thumb/6/6d/5evva54tdbq5hkzzmire8j97bh0eeop.png/82px-%E5%A4%B4%E5%83%8F_%E6%80%80%E7%89%B9%C2%B7%E8%8C%9C%E8%8C%9C.png
辉耀圣召使,辉耀神眷使,4356,280,562,282,355,150,1000,30,150,90,90,20,https://patchwiki.biligame.com/images/langrisser/thumb/5/5a/8vlsa25fmvbazjjnzv7s16wm15pqdgy.png/82px-%E5%A4%B4%E5%83%8F_%E8%BE%89%E8%80%80%E5%9C%A3%E5%8F%AC%E4%BD%BF.png
辉耀圣召使,圣雷召现使,4039,253,592,281,378,166,1000,30,150,90,90,20,https://patchwiki.biligame.com/images/langrisser/thumb/5/5a/8vlsa25fmvbazjjnzv7s16wm15pqdgy.png/82px-%E5%A4%B4%E5%83%8F_%E8%BE%89%E8%80%80%E5%9C%A3%E5%8F%AC%E4%BD%BF.png
辉夜,月隐谪仙,3671,290,566,240,356,135,1000,30,150,90,90,20,https://patchwiki.biligame.com/images/langrisser/thumb/9/9a/kpro29mq9ylcw3rsizoykllawhufiji.png/82px-%E5%A4%B4%E5%83%8F_%E8%BE%89%E5%A4%9C.png
辉夜,月之贤人,3994,290,534,271,319,149,1000,30,150,90,90,20,https://patchwiki.biligame.com/images/langrisser/thumb/9/9a/kpro29mq9ylcw3rsizoykllawhufiji.png/82px-%E5%A4%B4%E5%83%8F_%E8%BE%89%E5%A4%9C.png
霍夫曼,盾剑统帅,4783,575,258,350,291,140,1000,150,30,90,90,20,https://patchwiki.biligame.com/images/langrisser/thumb/d/d9/im0u6v5w47uw5zu2t9yv8n75qvvst0t.png/82px-%E5%A4%B4%E5%83%8F_%E9%9C%8D%E5%A4%AB%E6%9B%BC.png
霍夫曼,翼盾元帅,4783,575,258,359,269,140,1000,150,30,90,90,20,https://patchwiki.biligame.com/images/langrisser/thumb/d/d9/im0u6v5w47uw5zu2t9yv8n75qvvst0t.png/82px-%E5%A4%B4%E5%83%8F_%E9%9C%8D%E5%A4%AB%E6%9B%BC.png
基斯,龙骑统帅,3657,486,230,263,311,152,1000,150,30,90,90,20,https://patchwiki.biligame.com/images/langrisser/thumb/9/9d/lged0l96zsfm22qvvg9daamtwl6wk79.png/82px-%E5%A4%B4%E5%83%8F_%E5%9F%BA%E6%96%AF.png
基扎洛夫,魔导元帅,3845,258,514,265,361,105,1000,30,150,90,90,20,https://patchwiki.biligame.com/images/langrisser/thumb/d/d5/04x2i6z09i82m8hpptjsdumf6fh8i81.png/82px-%E5%A4%B4%E5%83%8F_%E5%9F%BA%E6%89%8E%E6%B4%9B%E5%A4%AB.png
基扎洛夫,科学狂人,3548,310,484,285,315,105,1000,30,150,90,90,20,https://patchwiki.biligame.com/images/langrisser/thumb/d/d5/04x2i6z09i82m8hpptjsdumf6fh8i81.png/82px-%E5%A4%B4%E5%83%8F_%E5%9F%BA%E6%89%8E%E6%B4%9B%E5%A4%AB.png
迦游罗,星丽剑姬,3322,262,534,227,389,137,1000,30,150,90,90,20,https://patchwiki.biligame.com/images/langrisser/thumb/c/cd/4nqbroey9lvdxcsqu7lnrrjgbuf2l49.png/82px-%E5%A4%B4%E5%83%8F_%E8%BF%A6%E6%B8%B8%E7%BD%97.png
迦游罗,净地末裔,3322,316,503,227,399,137,1000,30,150,90,90,20,https://patchwiki.biligame.com/images/langrisser/thumb/c/cd/4nqbroey9lvdxcsqu7lnrrjgbuf2l49.png/82px-%E5%A4%B4%E5%83%8F_%E8%BF%A6%E6%B8%B8%E7%BD%97.png
剑部武一郎,剑圣,4253,588,244,302,253,215,1000,150,30,90,90,20,https://patchwiki.biligame.com/images/langrisser/thumb/8/89/luap4npzrwqj2mpphfyfh0xaxg4o3bq.png/82px-%E5%A4%B4%E5%83%8F_%E5%89%91%E9%83%A8%E6%AD%A6%E4%B8%80%E9%83%8E.png
剑部武一郎,战王丸,4531,558,222,325,201,164,1000,150,30,90,90,20,https://patchwiki.biligame.com/images/langrisser/thumb/8/89/luap4npzrwqj2mpphfyfh0xaxg4o3bq.png/82px-%E5%A4%B4%E5%83%8F_%E5%89%91%E9%83%A8%E6%AD%A6%E4%B8%80%E9%83%8E.png
降生之光,裁决威光,3308,262,563,245,395,96,1000,30,150,90,90,20,https://patchwiki.biligame.com/images/langrisser/thumb/0/0b/nwi2l4pcydy4kzi9camr7u2mm18d4ve.png/82px-%E5%A4%B4%E5%83%8F_%E9%99%8D%E7%94%9F%E4%B9%8B%E5%85%89.png
降生之光,圣者,3471,316,532,265,395,96,1000,30,150,90,90,20,https://patchwiki.biligame.com/images/langrisser/thumb/0/0b/nwi2l4pcydy4kzi9camr7u2mm18d4ve.png/82px-%E5%A4%B4%E5%83%8F_%E9%99%8D%E7%94%9F%E4%B9%8B%E5%85%89.png
杰克船长,剑斗统帅,4057,552,269,314,271,153,1000,150,30,90,90,20,https://patchwiki.biligame.com/images/langrisser/thumb/f/f7/8selpay4rr2s4sr5bksydnc5ijv4tot.png/82px-%E5%A4%B4%E5%83%8F_%E6%9D%B0%E5%85%8B%E8%88%B9%E9%95%BF.png
杰克船长,穹海纵横王,4387,525,324,326,271,129,1000,150,30,90,90,20,https://patchwiki.biligame.com/images/langrisser/thumb/f/f7/8selpay4rr2s4sr5bksydnc5ijv4tot.png/82px-%E5%A4%B4%E5%83%8F_%E6%9D%B0%E5%85%8B%E8%88%B9%E9%95%BF.png
杰利奥鲁&蕾拉,黑骑士,3925,531,417,302,280,118,800,150,110,90,90,20,https://patchwiki.biligame.com/images/langrisser/thumb/3/31/lm8wtnk8j7x29jmpkqnr0yvdvwiembu.png/82px-%E5%A4%B4%E5%83%8F_%E6%9D%B0%E5%88%A9%E5%A5%A5%E9%B2%81%26%E8%95%BE%E6%8B%89.png
杰利奥鲁&蕾拉,皇家特使,3455,501,480,270,338,91,800,150,110,90,90,20,https://patchwiki.biligame.com/images/langrisser/thumb/3/31/lm8wtnk8j7x29jmpkqnr0yvdvwiembu.png/82px-%E5%A4%B4%E5%83%8F_%E6%9D%B0%E5%88%A9%E5%A5%A5%E9%B2%81%26%E8%95%BE%E6%8B%89.png
杰路刚帝士,精灵魔导士,3935,253,554,284,350,100,1000,30,150,90,90,20,https://patchwiki.biligame.com/images/langrisser/thumb/6/6f/bpn0tcsb2a0ek7v7o2iz6i4vdq8m5l9.png/82px-%E5%A4%B4%E5%83%8F_%E6%9D%B0%E8%B7%AF%E5%88%9A%E5%B8%9D%E5%A3%AB.png
杰路刚帝士,精灵剑士/杰路刚帝士,4434,280,584,319,276,131,1000,30,150,90,90,20,https://patchwiki.biligame.com/images/langrisser/thumb/6/6f/bpn0tcsb2a0ek7v7o2iz6i4vdq8m5l9.png/82px-%E5%A4%B4%E5%83%8F_%E6%9D%B0%E8%B7%AF%E5%88%9A%E5%B8%9D%E5%A3%AB.png
杰斯,巫师,3449,253,575,235,366,115,1000,30,150,90,90,20,https://patchwiki.biligame.com/images/langrisser/thumb/d/db/324wxbtm84voy92lmuytl67z33kf4js.png/82px-%E5%A4%B4%E5%83%8F_%E6%9D%B0%E6%96%AF.png
杰斯,圣者,3614,305,542,255,366,115,1000,30,150,90,90,20,https://patchwiki.biligame.com/images/langrisser/thumb/d/db/324wxbtm84voy92lmuytl67z33kf4js.png/82px-%E5%A4%B4%E5%83%8F_%E6%9D%B0%E6%96%AF.png
杰西卡,巫师,2931,242,471,219,369,77,1000,30,150,90,90,20,https://patchwiki.biligame.com/images/langrisser/thumb/a/ab/se9kl5qgtl2rr4mpv59a90r7ke2eega.png/82px-%E5%A4%B4%E5%83%8F_%E6%9D%B0%E8%A5%BF%E5%8D%A1.png
卷岛颚人,黑色巨神殖装,4299,560,260,330,280,130,1000,150,30,90,90,20,https://patchwiki.biligame.com/images/langrisser/thumb/f/fc/2bncdiqi5dg7go8srtyyvn373r6dte0.png/82px-%E5%A4%B4%E5%83%8F_%E5%8D%B7%E5%B2%9B%E9%A2%9A%E4%BA%BA.png
